Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
150,922.05,852.44,727.38,594.92,1104.11,690.43,754.23,665.05
151,928.92,859.76,732.01,598.65,1112.00,695.01,757.94,669.42
152,934.99,864.70,736.40,602.33,1118.78,699.18,761.39,673.65
153,942.36,873.50,741.09,606.17,1126.54,703.77,766.88,678.09
154,949.73,879.55,745.74,610.10,1134.63,708.49,772.40,682.53
155,957.26,885.60,750.43,613.97,1143.04,713.08,775.85,687.07
156,964.97,891.95,755.14,617.77,1151.13,717.66,781.45,691.58
157,977.30,905.91,759.93,621.74,1160.89,722.67,787.04,696.47
158,982.37,912.66,764.73,625.65,1169.31,727.25,792.60,700.92
159,987.47,916.50,769.52,629.63,1178.36,732.79,798.13,705.59
160,992.32,919.93,774.01,633.38,1186.20,736.96,801.58,709.99
161,997.96,923.36,778.22,637.01,1191.69,741.12,805.04,713.96
162,1002.67,926.79,782.60,640.66,1198.48,745.29,808.51,718.11
163,1009.02,931.89,786.99,644.26,1205.63,749.45,811.96,722.39
164,1015.05,935.46,791.52,647.92,1212.22,753.61,815.42,726.59
165,1019.81,939.33,796.21,651.79,1219.66,758.37,820.93,730.92
166,1024.80,944.71,800.76,655.50,1227.42,762.56,824.38,735.38
167,1029.56,951.44,805.40,659.20,1233.91,766.72,827.83,739.84
168,1034.30,954.85,810.05,662.92,1241.34,770.88,831.27,744.13
169,1041.03,958.26,814.58,666.63,1248.78,775.47,834.75,748.58
170,1046.44,961.67,819.12,670.31,1256.22,780.15,840.26,753.22
171,1051.20,965.31,823.85,674.10,1263.01,784.40,843.71,757.51
172,1057.35,968.77,828.08,677.70,1269.15,788.56,847.16,761.89
173,1062.12,972.18,832.65,681.43,1275.94,792.72,850.62,766.18
174,1067.14,975.60,837.21,685.17,1283.47,796.89,856.10,770.66
175,1071.88,979.00,841.75,688.84,1290.26,801.05,859.56,775.09
176,1076.63,982.41,846.22,692.51,1297.05,805.32,863.02,779.53
177,1081.34,985.82,850.64,696.18,1303.84,809.58,866.47,783.87
178,1086.03,989.23,855.15,699.85,1310.69,813.75,869.92,788.28
179,1091.00,992.78,859.94,703.71,1318.12,818.33,875.45,792.86
180,1095.76,996.32,864.52,707.50,1325.56,822.49,878.90,797.44
181,1102.03,999.86,869.08,711.31,1333.03,826.66,882.38,801.80
182,1107.74,1003.27,873.52,714.97,1339.17,830.89,885.97,805.86
183,1112.52,1006.68,878.07,718.66,1345.31,835.07,889.67,809.95
184,1117.25,1010.09,882.43,722.34,1350.81,839.24,893.12,813.91
185,1123.27,1013.68,886.88,726.04,1356.95,843.40,896.57,818.00
186,1129.76,1017.39,891.41,729.75,1364.06,847.56,902.05,822.29
187,1135.81,1021.06,895.96,733.51,1370.53,851.72,905.50,826.47
188,1141.32,1024.60,900.45,737.16,1376.34,855.92,908.98,830.50
189,1146.11,1028.28,904.79,740.73,1381.90,860.08,912.43,834.59
190,1150.87,1031.82,909.28,744.39,1387.72,864.24,915.89,838.89
191,1155.67,1035.36,913.65,748.05,1394.83,868.41,919.31,843.18
192,1160.46,1038.90,918.14,751.74,1400.97,872.57,922.76,847.35
193,1165.36,1042.31,922.63,755.43,1407.88,876.73,926.21,851.80
194,1170.09,1045.85,927.30,759.33,1415.96,881.34,931.76,856.37
195,1174.84,1049.26,931.77,763.11,1422.10,885.51,935.24,860.58
196,1179.60,1052.80,936.13,766.77,1428.89,889.67,938.69,864.99
197,1184.32,1056.34,940.60,770.45,1435.87,893.84,942.14,869.23
198,1189.13,1059.88,945.06,774.15,1442.65,898.00,945.60,873.72
199,1193.93,1063.42,949.53,777.84,1450.09,902.16,949.05,878.24
200,1198.73,1066.96,954.01,781.54,1457.62,906.74,952.51,882.71
201,1203.56,1070.51,958.50,785.31,1465.05,911.33,955.96,887.15
202,1209.86,1074.05,963.00,789.05,1472.49,915.91,959.45,891.58
203,1216.69,1077.59,967.55,792.82,1479.93,920.49,962.91,895.94
204,1221.58,1081.26,972.34,796.63,1488.01,925.07,968.41,900.56
205,1226.44,1087.65,977.13,800.57,1496.10,930.11,973.93,905.28
