Total Analysis (h),29.1440611111,25.8094641667,24.9077719444,20.7155313889,36.4418519444,23.6620922222,17.8938516667,20.6850272222
No. of Solves,6548,9314,6555,6482,6479,6479,6555,6479
No. of Timesteps,6427,6427,6427,6428,6428,6428,6427,6428
Total (sec),53204.62099,25858.6146,32279.63836,17502.6533,74165.6568,28200.71469,5274.31413,15474.15316
Ave. / Timestep (msec),8278.297960168,4023.4346662518,5022.5048016182,2722.8769912881,11537.9055382701,4387.1678111388,820.6494678699,2407.3044741755
Ave. / Solve (msec),8125.3239141723,2776.3167919261,4924.429955759,2700.1933508177,11447.0839327057,4352.6338462726,804.6245812357,2388.3551720945
,,,,,,,,
Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
96,1869.087,1323.748,1765.929,1290.909,2832.477,1581.016,1212.24,1302.739
97,1892.698,1340.671,1780.912,1303.507,2858.727,1595.375,1222.357,1315.248
98,1908.619,1352.485,1804.399,1316.715,2894.752,1612.288,1238.213,1329.432
99,1924.769,1363.72,1819.443,1329.442,2914.787,1626.903,1248.366,1341.191
100,1940.801,1375.415,1842.199,1342.726,2944.778,1643.905,1264.516,1354.367
101,1956.54,1386.21,1857.204,1355.485,2977.761,1659.574,1274.715,1368.105
102,1974.876,1397.049,1872.23,1368.214,3007.992,1675.242,1284.832,1381.336
103,1991.01,1408.279,1895.59,1381.236,3044.006,1692.117,1295.048,1395.639
104,2008.519,1419.156,1910.592,1393.897,3073.04,1707.74,1305.189,1408.657
105,2024.502,1430.396,1925.779,1406.656,3103.181,1724.647,1315.31,1421.902
106,2040.8,1441.662,1940.881,1419.5,3133.189,1741.541,1325.427,1435.105
107,2060.086,1452.894,1955.894,1432.318,3160.217,1756.035,1335.514,1447.857
108,2079.03,1464.134,1970.918,1445.254,3191.214,1771.774,1345.638,1461.21
109,2099.509,1475.836,1985.914,1458.284,3225.263,1788.699,1355.767,1475.054
110,2117.681,1487.068,2000.907,1470.736,3250.353,1804.449,1365.894,1487.541
111,2140.466,1498.422,2015.9,1483.495,3278.366,1821.423,1376.134,1500.58
112,2158.818,1509.655,2030.9,1496.324,3308.662,1836.997,1386.242,1513.602
113,2175.811,1520.946,2045.985,1509.02,3333.805,1851.407,1396.373,1526.14
114,2193.64,1532.171,2060.963,1521.558,3364.925,1866.974,1406.708,1539.523
115,2209.303,1543.591,2084.491,1534.821,3401.914,1883.967,1423.378,1554.021
116,2227.128,1554.938,2099.615,1547.776,3429.986,1899.695,1433.741,1567.105
117,2242.965,1566.682,2114.685,1560.514,3457.999,1916.562,1444.692,1580
118,2258.564,1578.417,2129.794,1573.336,3485.993,1932.296,1454.866,1593.132
119,2274.832,1590.09,2144.77,1586.097,3512.273,1947.987,1465.031,1605.69
120,2290.248,1602.319,2159.745,1598.816,3540.236,1963.556,1475.291,1618.688
121,2306.258,1613.99,2174.815,1611.852,3574.345,1979.301,1485.436,1632.545
122,2321.935,1625.662,2189.841,1624.557,3604.318,1994.908,1495.669,1645.543
123,2337.322,1636.889,2204.816,1637.627,3630.346,2010.474,1505.823,1658.081
