Simulated_Time,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
0.11500,102.229,87.098,78.713,70.485,97.281,70.485,233.92,147.595
0.11500,102.756,87.483,79.14,70.866,97.784,70.866,234.679,148.393
0.11500,103.315,87.881,79.595,71.254,98.353,71.254,235.944,149.261
0.11600,103.836,88.29,80.017,71.636,98.89,71.636,237.246,150.078
0.11600,104.369,88.761,80.484,72.03,99.426,72.03,238.482,150.925
0.11700,104.954,89.307,80.977,72.429,99.962,72.429,239.799,151.738
0.11700,105.501,89.742,81.422,72.817,100.465,72.817,241.075,152.532
0.11700,106.013,90.225,81.845,73.198,100.968,73.198,241.803,153.325
0.11800,106.527,90.722,82.277,73.579,101.47,73.579,242.554,154.119
0.11800,107.076,91.168,82.703,73.96,101.973,73.96,243.241,154.947
0.11800,107.593,91.739,83.105,74.332,102.443,74.332,245.047,155.73
0.11900,108.123,92.461,83.576,74.728,102.946,74.728,245.796,156.522
0.11900,108.638,92.833,84.004,75.106,103.416,75.106,247.088,157.296
0.12000,109.187,93.206,84.416,75.483,103.919,75.483,247.809,158.124
0.12000,109.741,93.579,84.83,75.86,104.422,75.86,248.526,158.947
0.12000,110.254,93.965,85.247,76.24,104.925,76.24,249.243,159.732
0.12100,110.769,94.351,85.665,76.621,105.428,76.621,249.999,160.519
0.12100,111.283,94.736,86.074,76.997,105.898,76.997,251.9,161.292
0.12100,111.8,95.109,86.489,77.371,106.401,77.371,253.184,162.128
0.12200,112.314,95.495,86.903,77.748,106.904,77.748,254.434,162.949
0.12200,112.892,95.88,87.325,78.131,107.407,78.131,255.709,163.744
0.12300,113.486,96.266,87.747,78.514,107.91,78.514,256.428,164.538
0.12300,114.018,96.652,88.162,78.893,108.413,78.893,257.152,165.361
0.12300,114.542,97.038,88.589,79.277,108.95,79.277,257.9,166.172
0.12400,115.057,97.411,89.007,79.659,109.486,79.659,259.156,166.979
0.12400,115.564,97.784,89.443,80.05,110.022,80.05,259.898,167.797
0.12400,116.091,98.169,89.879,80.44,110.592,80.44,260.638,168.663
0.12500,116.61,98.568,90.317,80.825,111.195,80.825,261.381,169.517
0.12500,117.148,98.979,90.771,81.228,111.831,81.228,263.288,170.408
0.12500,117.718,99.524,91.233,81.64,112.467,81.64,265.19,171.329
0.12600,118.247,100.054,91.665,82.03,113.004,82.03,265.942,172.155
0.12600,118.774,100.438,92.097,82.422,113.573,82.422,266.686,173.021
0.12600,119.294,100.821,92.529,82.807,114.076,82.807,267.957,173.817
0.12700,119.82,101.205,92.948,83.187,114.613,83.187,268.681,174.671
0.12700,120.33,101.576,93.361,83.565,115.149,83.565,271.66,175.529
0.12800,120.84,101.947,93.775,83.942,115.685,83.942,272.939,176.363
0.12800,121.348,102.318,94.189,84.319,116.188,84.319,274.244,177.201
0.12800,121.858,102.69,94.596,84.693,116.691,84.693,274.997,178.031
0.12900,122.372,103.061,95,85.065,117.16,85.065,276.231,178.838
0.12900,122.891,103.445,95.425,85.448,117.664,85.448,277.532,179.677
0.12900,123.415,103.828,95.848,85.838,118.233,85.838,278.843,180.544
0.13000,123.939,104.224,96.262,86.213,118.736,86.213,280.732,181.34
0.13000,124.463,104.631,96.7,86.6,119.239,86.6,282.573,182.166
0.13000,125.005,105.064,97.124,86.988,119.775,86.988,284.449,182.98
0.13100,125.532,105.472,97.536,87.365,120.278,87.365,285.711,183.778
0.13100,126.059,105.891,97.95,87.742,120.781,87.742,286.447,184.61
0.13100,126.566,106.311,98.37,88.123,121.317,88.123,287.171,185.465
0.13200,127.074,106.731,98.785,88.503,121.821,88.503,287.916,186.298
0.13200,127.581,107.151,99.199,88.879,122.324,88.879,289.198,187.127
0.13200,128.09,107.571,99.602,89.251,122.794,89.251,289.916,187.9
0.13300,128.603,107.992,100.016,89.628,123.297,89.628,291.773,188.723
0.13300,129.142,108.424,100.422,90.002,123.8,90.002,292.492,189.522
0.13300,129.669,108.856,100.837,90.38,124.303,90.38,293.189,190.346
0.13400,130.25,109.3,101.279,90.764,124.839,90.764,295.089,191.168
0.13400,130.773,109.805,101.748,91.16,125.375,91.16,296.965,192.026
0.13500,131.318,110.383,102.175,91.542,125.912,91.542,298.268,192.856
0.13500,131.86,111.115,102.639,91.935,126.448,91.935,299.52,193.712
0.13500,132.424,111.554,103.377,92.346,127.051,92.346,300.823,194.605
0.13600,133.029,112.019,103.829,92.746,127.687,92.746,302.736,195.484
0.13600,133.576,112.567,104.29,93.146,128.29,93.146,305.2,196.342
0.13600,134.109,112.967,104.76,93.55,128.893,93.55,307.583,197.205
0.13700,134.67,113.355,105.196,93.942,129.496,93.942,308.342,198.064
