Timesteps,AmgClassCPU,AmgFreeCPU,CgDiagCPU,CgLusgsCPU,GmresDiagCPU,GmresLusgsCPU,CgDiagGPU,GmresDiagGPU
222,9119.75,6335.54,9966.23,6648.7,17359.40,8308.57,6705.22,6713.26
223,9168.02,6363.64,9999.47,6678.5,17438.27,8347.31,6727.17,6743.42
224,9217.54,6391.72,10053.06,6708.6,17528.87,8385.86,6762.02,6775.05
225,9264.65,6418.82,10086.22,6738.5,17607.75,8424.55,6785.75,6804.42
226,9298.40,6444.93,10119.59,6766.8,17665.51,8454.08,6821.22,6830.26
227,9337.70,6470.06,10152.71,6793.3,17713.93,8483.50,6843.72,6856.10
228,9377.38,6495.19,10184.85,6819.1,17762.38,8512.99,6866.13,6880.66
229,9422.61,6523.27,10218.14,6849.7,17829.48,8548.39,6889.13,6908.42
230,9463.24,6549.38,10251.38,6877.5,17887.32,8581.07,6913.64,6934.58
231,9514.12,6577.46,10304.96,6907.5,17980.28,8619.66,6948.70,6965.85
232,9564.18,6605.55,10338.20,6937.5,18066.09,8658.16,6970.88,6996.26
233,9599.81,6633.64,10392.09,6967.6,18161.34,8696.85,7005.90,7027.42
234,9634.97,6661.75,10444.40,6998.1,18244.78,8735.23,7042.85,7057.44
235,9676.03,6686.90,10477.51,7026.5,18304.90,8764.86,7066.62,7084.25
236,9711.66,6713.03,10509.88,7052.8,18346.27,8794.43,7090.36,7108.15
237,9749.21,6737.17,10539.87,7077.9,18394.69,8823.93,7113.71,7133.35
238,9781.35,6762.29,10571.95,7103.6,18443.14,8853.32,7136.66,7158.53
239,9814.93,6787.42,10605.03,7131.2,18493.88,8882.91,7160.19,7184.04
240,9849.91,6815.53,10638.23,7162.3,18561.07,8918.51,7183.21,7211.83
241,9904.21,6845.61,10694.43,7193.6,18665.76,8959.95,7218.50,7244.18
242,9955.48,6874.71,10748.40,7224.4,18760.96,8998.57,7253.81,7275.93
243,10004.73,6902.81,10781.58,7254.3,18846.86,9037.14,7276.41,7306.25
244,10047.42,6928.94,10814.93,7283.1,18909.30,9069.72,7300.64,7333.04
245,10086.53,6954.07,10848.20,7310.6,18962.44,9099.15,7323.32,7358.84
246,10126.40,6980.18,10879.97,7336.5,19015.55,9128.65,7347.26,7383.99
247,10161.34,7007.28,10913.11,7365.4,19073.31,9164.28,7369.96,7410.42
248,10207.71,7035.37,10964.73,7394.7,19149.83,9199.98,7404.88,7439.84
